sex,age,race,education,workclass,occupation,salary-class
0,41-65,White,Secondary education,Non-Government,Nontechnical,<=50K
1,41-65,White,Secondary education,Non-Government,Technical,>50K
1,41-65,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Secondary education,Government,Other,>50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
1,41-65,White,Higher education,Government,Technical,>50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
1,26-40,Other,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Government,Other,>50K
0,26-40,White,Higher education,Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
0,26-40,White,Higher education,Non-Government,Nontechnical,>50K
1,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,Other,Secondary education,Government,Other,<=50K
0,66+,White,Higher education,Non-Government,Nontechnical,>50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,41-65,White,Higher education,Non-Government,Technical,<=50K
1,17-25,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,>50K
0,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
1,26-40,White,Secondary education,Government,Other,<=50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Secondary education,Non-Government,Other,>50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,Other,Higher education,Government,Technical,>50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Secondary education,Non-Government,Technical,<=50K
1,17-25,White,Higher education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,Other,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Higher education,Government,Technical,>50K
0,17-25,Other,Higher education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,17-25,White,Higher education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Other,>50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
1,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
1,41-65,Other,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Government,Technical,>50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,Other,Higher education,Non-Government,Technical,>50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Higher education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Technical,>50K
0,66+,White,Higher education,Non-Government,Technical,<=50K
1,26-40,Other,Secondary education,Non-Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
1,41-65,White,Higher education,Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
1,26-40,Other,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,66+,Other,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,Other,Higher education,Non-Government,Other,<=50K
1,17-25,White,Secondary education,Non-Government,Other,<=50K
1,41-65,Other,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,26-40,White,Higher education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Government,Nontechnical,<=50K
0,41-65,White,Higher education,Government,Other,<=50K
0,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
1,66+,White,Higher education,Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Government,Technical,>50K
1,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
0,17-25,Other,Secondary education,Non-Government,Technical,<=50K
0,26-40,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,Other,Higher education,Government,Nontechnical,>50K
1,41-65,White,Higher education,Non-Government,Other,<=50K
0,26-40,Other,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,>50K
0,26-40,White,Higher education,Government,Other,>50K
0,26-40,Other,Secondary education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Government,Technical,>50K
1,26-40,Other,Higher education,Non-Government,Technical,<=50K
0,17-25,White,Higher education,Non-Government,Technical,<=50K
0,41-65,Other,Higher education,Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Government,Technical,<=50K
0,17-25,White,Primary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Government,Nontechnical,>50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,41-65,White,Higher education,Government,Technical,<=50K
1,26-40,White,Secondary education,Government,Other,<=50K
1,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
0,26-40,Other,Higher education,Non-Government,Other,>50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
1,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
1,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,Other,Secondary education,Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,>50K
1,26-40,Other,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,Other,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Technical,>50K
0,26-40,Other,Higher education,Non-Government,Nontechnical,>50K
1,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
0,17-25,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,66+,Other,Secondary education,Non-Government,Other,<=50K
0,41-65,Other,Secondary education,Non-Government,Other,<=50K
1,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
0,66+,White,Secondary education,Non-Government,Other,<=50K
1,66+,White,Higher education,Non-Government,Other,<=50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,26-40,Other,Secondary education,Non-Government,Other,<=50K
1,41-65,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,17-25,White,Higher education,Non-Government,Other,<=50K
1,26-40,Other,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Secondary education,Government,Other,<=50K
1,26-40,White,Higher education,Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,26-40,White,Higher education,Government,Nontechnical,>50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,17-25,White,Higher education,Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Other,>50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
1,41-65,White,Higher education,Non-Government,Technical,>50K
1,41-65,Other,Higher education,Non-Government,Other,<=50K
1,41-65,Other,Secondary education,Government,Other,<=50K
0,17-25,White,Higher education,Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
0,41-65,Other,Secondary education,Non-Government,Other,>50K
1,17-25,White,Secondary education,Non-Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,<=50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,Other,Higher education,Non-Government,Nontechnical,>50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,>50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
1,17-25,White,Higher education,Non-Government,Technical,<=50K
1,17-25,White,Higher education,Non-Government,Technical,>50K
1,17-25,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Government,Technical,>50K
1,26-40,Other,Higher education,Non-Government,Nontechnical,<=50K
1,41-65,White,Higher education,Non-Government,Technical,<=50K
0,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Government,Nontechnical,>50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
1,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,Other,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Other,<=50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Other,>50K
1,17-25,Other,Higher education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Other,>50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
1,17-25,Other,Higher education,Non-Government,Other,<=50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
1,41-65,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Other,>50K
0,41-65,White,Higher education,Non-Government,Other,>50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,Other,Higher education,Non-Government,Nontechnical,>50K
1,26-40,Other,Higher education,Non-Government,Technical,>50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Higher education,Non-Government,Technical,<=50K
0,66+,White,Higher education,Non-Government,Nontechnical,<=50K
1,17-25,White,Primary education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
0,66+,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Secondary education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,<=50K
0,66+,White,Secondary education,Non-Government,Other,<=50K
0,41-65,Other,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
0,41-65,White,Secondary education,Government,Other,<=50K
0,41-65,White,Secondary education,Non-Government,Other,<=50K
0,17-25,White,Primary education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
0,17-25,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,Other,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,26-40,White,Secondary education,Government,Other,>50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
1,17-25,Other,Higher education,Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,>50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,>50K
0,41-65,White,Secondary education,Government,Other,<=50K
0,26-40,White,Secondary education,Government,Other,>50K
0,41-65,Other,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
1,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Government,Other,<=50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Government,Technical,>50K
0,41-65,Other,Secondary education,Non-Government,Technical,<=50K
0,41-65,Other,Secondary education,Non-Government,Technical,<=50K
1,17-25,White,Higher education,Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Secondary education,Non-Government,Other,<=50K
1,41-65,White,Primary education,Non-Government,Technical,<=50K
0,17-25,White,Higher education,Non-Government,Technical,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Government,Other,<=50K
1,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
1,41-65,White,Higher education,Non-Government,Other,>50K
1,17-25,White,Higher education,Non-Government,Other,<=50K
1,17-25,White,Secondary education,Non-Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Other,>50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,>50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Government,Other,>50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
0,26-40,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
1,41-65,Other,Higher education,Government,Other,<=50K
1,17-25,Other,Secondary education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,26-40,White,Higher education,Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,>50K
0,41-65,White,Primary education,Non-Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,26-40,Other,Secondary education,Government,Technical,<=50K
1,26-40,White,Secondary education,Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
1,26-40,White,Higher education,Government,Nontechnical,>50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Government,Technical,<=50K
0,17-25,White,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
0,41-65,White,Higher education,Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Higher education,Non-Government,Other,>50K
0,26-40,Other,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,26-40,Other,Secondary education,Government,Other,<=50K
1,26-40,White,Higher education,Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,17-25,White,Secondary education,Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
1,41-65,Other,Secondary education,Non-Government,Nontechnical,<=50K
0,41-65,Other,Secondary education,Non-Government,Technical,<=50K
0,17-25,White,Secondary education,Non-Government,Technical,<=50K
1,17-25,Other,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Secondary education,Non-Government,Technical,>50K
1,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
0,26-40,Other,Higher education,Non-Government,Technical,>50K
1,26-40,White,Secondary education,Non-Government,Nontechnical,<=50K
0,26-40,Other,Higher education,Non-Government,Other,<=50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
0,41-65,Other,Secondary education,Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Primary education,Non-Government,Technical,<=50K
1,17-25,White,Higher education,Non-Government,Technical,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,26-40,White,Higher education,Non-Government,Technical,>50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
1,66+,White,Higher education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Technical,<=50K
0,17-25,White,Secondary education,Non-Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Secondary education,Non-Government,Other,<=50K
1,17-25,White,Secondary education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Government,Technical,<=50K
1,41-65,White,Secondary education,Non-Government,Technical,<=50K
1,17-25,Other,Higher education,Non-Government,Other,<=50K
0,41-65,White,Secondary education,Government,Other,<=50K
1,41-65,White,Higher education,Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Nontechnical,>50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Secondary education,Government,Other,<=50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
1,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
1,41-65,White,Secondary education,Non-Government,Other,<=50K
0,17-25,White,Higher education,Non-Government,Technical,<=50K
0,17-25,White,Primary education,Non-Government,Other,<=50K
1,26-40,White,Higher education,Non-Government,Technical,<=50K
0,17-25,White,Secondary education,Government,Other,<=50K
0,41-65,White,Secondary education,Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Other,<=50K
1,17-25,White,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,Other,Higher education,Non-Government,Nontechnical,<=50K
0,17-25,White,Higher education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
1,41-65,Other,Secondary education,Government,Other,<=50K
1,26-40,White,Secondary education,Non-Government,Other,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
1,17-25,Other,Higher education,Non-Government,Other,<=50K
0,26-40,White,Higher education,Non-Government,Technical,>50K
0,26-40,White,Higher education,Non-Government,Nontechnical,>50K
0,41-65,White,Secondary education,Non-Government,Nontechnical,>50K
0,17-25,Other,Higher education,Government,Nontechnical,<=50K
0,26-40,White,Higher education,Government,Technical,>50K
0,41-65,White,Higher education,Non-Government,Technical,>50K
1,26-40,White,Higher education,Non-Government,Nontechnical,<=50K
0,41-65,White,Higher education,Non-Government,Nontechnical,>50K
1,66+,White,Higher education,Non-Government,Other,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,41-65,White,Higher education,Non-Government,Technical,<=50K
1,41-65,Other,Secondary education,Non-Government,Technical,<=50K
0,26-40,White,Secondary education,Non-Government,Technical,<=50K
0,26-40,Other,Secondary education,Non-Government,Other,<=50K
1,41-65,White,Higher education,Non-Government,Nontechnical,>50K
0,66+,White,Higher education,Non-Government,Technical,>50K
